[2021-10-31 01:18:48,866] __main__ - INFO : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #3/layer=3/0 | Process 139379 start (00:00:00)
[2021-10-31 01:18:49,307] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=1/0 | Optimizing... 50/1024
[2021-10-31 01:18:51,069] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=8/0 | Optimizer terminated 45/1024 (00:21:52)
[2021-10-31 01:18:51,069] __main__ - INFO : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=8/0 | Process 139378 finished (00:24:11)
[2021-10-31 01:18:51,263] __main__ - INFO : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #3/layer=4/0 | Process 139378 start (00:00:00)
[2021-10-31 01:19:04,551] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=7/0 | Optimizing... 40/1024
[2021-10-31 01:19:14,455] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=3/0 | Optimizing... 50/1024
[2021-10-31 01:19:22,078] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=2/0 | Optimizing... 50/1024
[2021-10-31 01:19:29,172] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=8/0 | Optimizing... 40/1024
[2021-10-31 01:19:29,299] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=4/0 | Optimizing... 50/1024
[2021-10-31 01:19:49,077] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=6/0 | Optimizing... 50/1024
